rank,c,delta,p,chi,net_vol_pct,conditioned_windows,min_rank
1013,0.2,2.0,0.75,0.9,5.1626691134695335,0,10
1014,0.2,2.0,0.8,0.9,5.162712115004288,0,10
1015,0.2,3.0,0.9,0.9,5.165298272932025,12,9
1016,0.2,2.75,0.8,0.9,5.166232307763992,12,9
1017,0.2,3.0,1.0,0.9,5.171662408148807,12,9
1018,0.2,2.75,0.9,0.9,5.186247045559089,12,9
1019,0.2,2.75,1.0,0.9,5.198614839781273,12,9
1020,0.3,0.75,1.0,0.9,5.224934132978035,0,10
1021,0.0,2.5,0.0,0.9,5.2293601923171,46,6
1022,0.1,2.5,0.0,0.9,5.2293601923171,46,6
1023,0.2,2.5,0.0,0.9,5.2293601923171,46,6
1024,0.3,2.5,0.0,0.9,5.2293601923171,46,6
1025,0.4,2.5,0.0,0.9,5.2293601923171,46,6
1026,0.5,2.5,0.0,0.9,5.2293601923171,46,6
1027,0.6,2.5,0.0,0.9,5.2293601923171,46,6
1028,0.7,2.5,0.0,0.9,5.2293601923171,46,6
1029,0.4,0.75,1.0,0.9,5.271907249976741,0,10
1030,0.0,2.25,0.0,0.9,5.316084827184463,51,6
1031,0.1,2.25,0.0,0.9,5.316084827184463,51,6
1032,0.2,2.25,0.0,0.9,5.316084827184463,51,6
1033,0.3,2.25,0.0,0.9,5.316084827184463,51,6
1034,0.4,2.25,0.0,0.9,5.316084827184463,51,6
1035,0.5,2.25,0.0,0.9,5.316084827184463,51,6
1036,0.6,2.25,0.0,0.9,5.316084827184463,51,6
1037,0.7,2.25,0.0,0.9,5.316084827184463,51,6
1038,0.7,0.75,1.0,0.9,5.378364867218831,32,8
1039,0.5,0.75,1.0,0.9,5.62763324549421,4,9
1040,0.6,0.75,1.0,0.9,5.789772034892734,25,8
